gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	significant	differentiation	diff_expr
GRTP1	53.775978331241056	-1.9478159680898823	0.3237837884598343	-6.015792135101016	1.790091559418777e-9	1.7837993374320276e-8	TRUE	Healthy vs. Pre treatment	NA
AK310794	41.85982695742173	-1.9485422038090492	0.31245902913220763	-6.23615265406391	4.4846348946977806e-10	5.221663284237101e-9	TRUE	Healthy vs. Pre treatment	NA
TRIM11	573.5745535869869	-1.9495795523905324	0.3048240319624047	-6.39575410061823	1.5975692555460472e-10	2.111490014036232e-9	TRUE	Healthy vs. Pre treatment	NA
DBH-AS1	48.21077695712481	-1.9510488554357424	0.41481025045988734	-4.703473101912681	2.557728062096678e-6	1.1640697678611706e-5	TRUE	Healthy vs. Pre treatment	NA
AC004540.5:ENSG00000214870	56.90299842336856	-1.9525362972143503	0.41392723617837673	-4.717100317537282	2.3922974854727672e-6	1.094893100452335e-5	TRUE	Healthy vs. Pre treatment	NA
PHLDB1	8129.137507128193	-1.953172491591494	0.2363678589304126	-8.263274458844736	1.417298579892745e-16	1.2432187229274432e-14	TRUE	Healthy vs. Pre treatment	NA
COL9A1	3.2163588847903646	-1.9536529029518892	0.5599290649969046	-3.4891078621944533	4.84635549321568e-4	0.00126534383079006	TRUE	Healthy vs. Pre treatment	NA
AK301549	5.384686890097355	-1.9544008334995768	0.4739283752832929	-4.123831649310563	3.726212886351746e-5	1.2798674323077523e-4	TRUE	Healthy vs. Pre treatment	NA
IRX3	217.7525308723097	-1.955240352837174	0.28411169782637297	-6.881942446565735	5.904186885873643e-12	1.1491721360654164e-10	TRUE	Healthy vs. Pre treatment	NA
THY1	2719.861521602847	-1.955497695951549	0.33784348953961907	-5.7881763493986975	7.115468832532652e-9	6.046293911084762e-8	TRUE	Healthy vs. Pre treatment	NA
FAM189B	241.31703776273287	-1.9555384989454945	0.27063134779991815	-7.2258388203840065	4.980181393663195e-13	1.3129019978631499e-11	TRUE	Healthy vs. Pre treatment	NA
PEAR1	549.2760113117333	-1.9560403150601249	0.3850881173658256	-5.079461626705888	3.785059658256214e-7	2.1111933839506645e-6	TRUE	Healthy vs. Pre treatment	NA
TRMT61A	411.6234803373632	-1.956678300988238	0.2759386898585908	-7.090989313571681	1.3315662835374977e-12	3.093440388631472e-11	TRUE	Healthy vs. Pre treatment	NA
CTD-2555C10.3:ENSG00000259230	5.736738934840656	-1.957085774820121	0.4908173558178925	-3.987401324793935	6.68009732951095e-5	2.160538754341331e-4	TRUE	Healthy vs. Pre treatment	NA
MZF1	739.2494281807541	-1.957171848799725	0.2752305412733755	-7.1110271401738965	1.1518248450017949e-12	2.734325945762149e-11	TRUE	Healthy vs. Pre treatment	NA
PODXL2	155.96426915944207	-1.9573508816874328	0.29690552298563894	-6.59250411378204	4.32469197347769e-11	6.692666114968124e-10	TRUE	Healthy vs. Pre treatment	NA
